City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,puerto leguizamo,-0.1934,-74.7819,24.939999999999998,90,100,1.58,CO,1682272950
127,udachny,66.4167,112.4,-11.870000000000005,96,100,0.94,RU,1682273213
128,new norfolk,-42.7826,147.0587,7.6200000000000045,60,18,1.66,AU,1682273213
129,argungu,12.7433,4.5269,37.04000000000002,8,38,4.14,NG,1682273214
130,college,64.8569,-147.8028,-10.299999999999955,52,75,7.72,US,1682273214
131,invercargill,-46.4,168.35,8.110000000000014,72,92,7.88,NZ,1682273214
132,iskateley,67.6803,53.1512,-7.21999999999997,90,50,6.05,RU,1682273188
133,vorgashor,67.5833,63.95,-7.139999999999986,84,100,7.13,RU,1682273214
134,lima,-12.0432,-77.0282,25.140000000000043,65,0,6.17,PE,1682273215
135,umluj,25.0213,37.2685,26.680000000000007,82,68,10.53,SA,1682273215
136,aykhal,66.0,111.5,-10.229999999999961,96,100,0.82,RU,1682273216
137,jamestown,42.097,-79.2353,6.770000000000039,69,100,6.17,US,1682273199
138,ilha de mocambique,-15.0342,40.7358,26.55000000000001,74,5,4.45,MZ,1682273217
139,antofagasta,-23.65,-70.4,19.600000000000023,73,8,3.98,CL,1682273217
140,guerrero negro,27.9769,-114.0611,19.720000000000027,61,10,4.88,MX,1682273217
141,paciran,-6.8767,112.3761,26.170000000000016,84,58,3.69,ID,1682273217
142,jayapura,-2.5333,140.7,24.660000000000025,92,100,1.41,ID,1682273218
143,labuan,5.2767,115.2417,28.670000000000016,75,13,0.82,MY,1682273218
144,ginowan,26.2627,127.7615,21.77000000000004,80,20,4.63,JP,1682273218
145,chandler,33.3062,-111.8412,31.340000000000032,19,40,2.57,US,1682272918
146,okhotsk,59.3833,143.3,-2.5499999999999545,71,98,8.48,RU,1682273219
147,geraldton,-28.7667,114.6,21.230000000000018,78,40,3.6,AU,1682273219
148,barah,13.7,30.3667,32.610000000000014,27,100,3.32,SD,1682273219
149,caluula,11.9661,50.7569,28.760000000000048,63,49,4.62,SO,1682273219
150,pangai,-19.8,-174.35,25.27000000000004,78,89,7.85,TO,1682273220
151,lihue,21.9789,-159.3672,23.58000000000004,94,100,2.57,US,1682273220
152,hamilton,39.1834,-84.5333,8.270000000000039,61,100,6.17,US,1682272997
153,kerikeri,-35.2268,173.9474,12.730000000000018,92,80,3.38,NZ,1682273220
154,novo aripuana,-5.1206,-60.3797,28.52000000000004,65,98,1.24,BR,1682273220
155,carbonear,47.7332,-53.2148,5.1299999999999955,92,100,8.35,CA,1682273221
156,vila do maio,15.1333,-23.2167,26.439999999999998,76,1,8.34,CV,1682273221
157,qingquan,30.4511,115.2559,10.770000000000039,94,100,2.58,CN,1682273221
